date,holdings,n,equity,cash
2014-03-31,ILMN:431.89@144.61,1,62519.53010270267,63.98658916459681
2014-04-30,ILMN:431.89@132.15,1,57137.74509703195,63.98658916459681
2014-06-30,MU:2328.98@32.13,1,74906.99594413307,74.98182795825414
2014-07-31,MU:2328.98@29.79,1,69456.24943805493,74.98182795825414
2014-09-30,VRTX:691.22@112.31,1,77708.94921653044,77.78658037917921
2014-10-31,MNST:4619.85@16.81,1,77752.6860066155,77.83036086225184
2014-12-31,BBBY:4043.34@20.58,1,83291.35986006113,83.37456784535607
2015-03-31,BIIB:196.21@422.24,1,82929.8446512343,83.01269148319261
2015-04-30,NFLX:9205.29@7.95,1,73255.39334673692,73.32857541150588
2015-06-30,NFLX:9205.29@9.38,1,86463.14511200709,73.32857541150588
2015-07-31,NFLX:9205.29@11.43,1,105299.01189629463,73.32857541150588
2015-08-31,NFLX:9205.29@11.50,1,105961.79286026135,73.32857541150588
2015-09-30,AMZN:3702.89@25.59,1,94868.62880808557,94.96340247349872
2015-11-30,TCOM:2305.82@53.25,1,122899.15162378685,123.02192775349249
2015-12-31,TCOM:2305.82@46.11,1,106434.90818728646,123.02192775349249
2016-02-29,MAT:3110.61@30.13,1,93803.1570851961,93.89686634541431
2016-03-31,MAT:3110.61@31.14,1,96972.86720522681,93.89686634541431
2016-05-31,BBBY:6417.07@14.46,1,92864.5761377985,92.95734775658639
2016-06-30,ULTA:361.65@243.64,1,88199.85058143351,88.28796214405156
2016-08-31,STX:4010.04@22.24,1,89287.92615496114,89.37712470398401
2016-09-30,STX:4010.04@25.86,1,103799.06136458322,89.37712470398401
2016-10-31,STX:4010.04@23.02,1,92392.09885945957,89.37712470398401
2016-11-30,MU:5649.61@19.04,1,107701.26919106879,107.8088626513927
2017-01-31,CSX:9747.00@13.59,1,132586.67438125648,132.7191283364955
2017-02-28,CSX:9747.00@14.28,1,139305.28264045037,132.7191283364955
2017-03-31,MU:4721.80@28.18,1,133200.6580934794,133.33372541784775
2017-05-31,JD:4017.97@35.18,1,141479.422381402,141.6207601830247
2017-06-30,TSLA:5730.68@24.11,1,138289.54469934103,138.42769581635366
2017-07-31,VRTX:812.22@151.82,1,123434.73945374372,123.55805063513981
2017-08-31,VRTX:812.22@160.54,1,130517.29446517244,123.55805063513981
2017-10-31,LRCX:6396.29@18.53,1,118617.68609677372,118.73618504668411
2017-11-30,MU:2637.25@41.34,1,109122.84850215637,109.23186211880238
2018-01-31,STX:2800.08@40.06,1,112287.7414495748,112.39991679110972
2018-02-28,MELI:279.11@387.97,1,108394.04163632075,108.50232717562176
2018-04-30,NFLX:3027.36@31.25,1,94687.78565413022,94.78237865741539
2018-05-31,NFLX:3027.36@35.16,1,106536.886813325,94.78237865741539
2018-07-31,ALGN:285.79@356.65,1,102029.17640460403,102.13110344990855
2018-08-31,ALGN:285.79@386.49,1,110557.15350200048,102.13110344990855
2018-10-31,SBUX:1283.04@49.20,1,63182.921331437385,63.246041006728774
2018-11-30,SBUX:1283.04@56.63,1,72724.23029866583,63.246041006728774
2018-12-31,NTES:1735.88@40.31,1,70040.3126846151,70.11028288702073
2019-01-31,WDAY:411.64@181.53,1,74800.55627536814,74.87528195636696
2019-02-28,WDAY:411.64@197.93,1,81551.51296733065,74.87528195636696
2019-04-30,MELI:174.46@484.14,1,84546.58385079198,84.63104580358777
2019-05-31,MELI:174.46@570.52,1,99616.2403206042,84.63104580358777
2019-07-31,HAS:1152.06@93.89,1,108269.76448632152,108.37792587289005
2019-09-30,WDC:2427.24@43.56,1,105832.01347406248,105.93773954978678
2019-10-31,LRCX:3673.34@25.09,1,92262.70642461067,92.3548767761531
2019-12-31,TSLA:3571.92@27.89,1,99715.95993265945,99.81557607701689
