year,strat,qqq,excess,crush
2005,0.0,0.1545206065344802,-0.1545206065344802,False
2006,-0.3692861467641587,0.048112096399732796,-0.4173982431638915,True
2007,1.1754359943046517,0.18807684529828128,0.9873591490063705,False
2008,-0.13463420036927898,-0.4083695081151325,0.27373530774585353,False
2009,0.20147157045493636,0.4826731564566942,-0.2812015860017578,False
2010,0.7448442044670003,0.18178728007602296,0.5630569243909773,False
2011,-0.04717510504319333,0.01795600097573491,-0.06513110601892824,True
2012,0.6772377305600366,0.15891221092650976,0.5183255196335268,False
2013,0.3350394853185803,0.32425537162263507,0.01078411369594523,False
2014,0.38630157559330747,0.201235590380608,0.18506598521269946,False
2015,0.31633077381116004,0.09765956770838846,0.21867120610277158,False
2016,0.16319063801853217,0.0940539315211606,0.06913670649737158,False
2017,-0.14864381597612508,0.31488419436061355,-0.4635280103367386,True
2018,-0.3755455457659128,-0.01847035780186923,-0.3570751879640436,False
2019,0.4620456159950068,0.38405013916258657,0.07799547683242025,False
2020,5.16466779686679,0.4618152890917395,4.7028525077750505,False
2021,0.6717038558079682,0.2924456192712861,0.3792582365366821,False
2022,0.1374394834922168,-0.3322276564905501,0.4696671399827669,False
2023,1.0680482306841461,0.559100509217068,0.5089477214670781,False
2024,0.5019916499195005,0.27739777924899256,0.22459387067050796,False
2025,1.4603691710148734,0.2100920610317747,1.2502771099830987,False
2026,0.7931061646843924,0.18610760978496677,0.6069985548994257,False
