,equity
2005-09-16,49726.67349846124
2005-09-19,49723.83422470197
2005-09-20,49720.995113058416
2005-09-21,49718.15616352133
2005-09-22,49715.317376081446
2005-09-23,49712.47875072952
2005-09-26,49709.640287456285
2005-09-27,49706.801986252496
2005-09-28,49703.9638471089
2005-09-29,49701.125870016236
2005-09-30,49698.288054965255
2005-10-03,49695.450401946706
2005-10-04,49692.612910951335
2005-10-05,49689.775581969894
2005-10-06,49686.938414993136
2005-10-07,49684.101410011805
2005-10-10,49681.26456701665
2005-10-11,49678.427885998426
2005-10-12,49675.59136694788
2005-10-13,49672.75500985577
2005-10-14,49669.918814712844
2005-10-17,49667.08278150985
2005-10-18,49664.246910237554
2005-10-19,49661.4112008867
2005-10-20,49658.57565344805
2005-10-21,49655.74026791236
2005-10-24,49652.90504427038
2005-10-25,49650.06998251287
2005-10-26,49647.23508263058
2005-10-27,49644.400344614274
2005-10-28,49641.56576845471
2005-10-31,49638.73135414264
2005-11-01,49635.89710166883
2005-11-02,49633.06301102404
2005-11-03,49630.229082199025
2005-11-04,49627.39531518454
2005-11-07,49624.56170997136
2005-11-08,49621.72826655024
2005-11-09,49618.894984911945
2005-11-10,49616.06186504723
2005-11-11,49613.22890694686
2005-11-14,49610.39611060161
2005-11-15,49607.56347600222
2005-11-16,49604.73100313948
2005-11-17,49601.89869200414
2005-11-18,49599.066542586974
2005-11-21,49596.23455487874
2005-11-22,49593.40272887022
2005-11-23,49590.57106455217
2005-11-25,49587.739561915354
2005-11-28,49584.90822095055
2005-11-29,49582.07704164852
2005-11-30,49579.24602400004
2005-12-01,49576.41516799587
2005-12-02,49573.58447362678
2005-12-05,49570.75394088356
2005-12-06,49567.92356975696
2005-12-07,49565.09336023776
2005-12-08,49562.26331231674
2005-12-09,49559.433425984666
2005-12-12,49556.603701232314
2005-12-13,49553.77413805045
2005-12-14,49550.94473642986
2005-12-15,49548.115496361315
2005-12-16,49545.28641783559
2005-12-19,49542.45750084346
2005-12-20,49539.62874537571
2005-12-21,49536.80015142311
2005-12-22,49533.971718976434
2005-12-23,49531.143448026465
2005-12-27,49528.31533856398
2005-12-28,49525.487390579765
2005-12-29,49522.659604064596
2005-12-30,49519.83197900925
2006-01-03,49517.004515404515
2006-01-04,49514.177213241164
2006-01-05,49511.35007250999
2006-01-06,49508.523093201766
2006-01-09,51322.9651284151
2006-01-10,61269.66668168345
2006-01-11,59770.175664031754
2006-01-12,64886.142961923484
2006-01-13,60949.84551244583
2006-01-17,64922.27822032202
2006-01-18,61913.21337382776
2006-01-19,66512.32473479291
2006-01-20,61497.32160866216
2006-01-23,62856.18380069804
2006-01-24,67003.82552111801
2006-01-25,65391.83306054924
2006-01-26,66862.93856816909
2006-01-27,68474.4029738255
2006-01-30,64593.850622891085
2006-01-31,67219.62873663848
2006-02-01,68164.58991945606
2006-02-02,65346.87578966392
2006-02-03,63862.703967076144
2006-02-06,63213.71686247989
2006-02-07,68022.60712760681
2006-02-08,70032.62961416676
2006-02-09,68758.6927130742
2006-02-10,67527.57561226303
2006-02-13,64178.01817558579
2006-02-14,67902.98682129954
2006-02-15,69060.03498115382
2006-02-16,70509.77776436282
2006-02-17,71178.92886865462
2006-02-21,70463.7094323349
2006-02-22,73071.48633358185
2006-02-23,79161.68813804284
2006-02-24,82092.20973754315
2006-02-27,83900.22929752177
2006-02-28,82172.16471093352
2006-03-01,83698.19403292381
2006-03-02,83503.55555038601
2006-03-03,83185.27847092383
2006-03-06,82496.53792907122
2006-03-07,75861.44844199768
2006-03-08,76833.08439549858
2006-03-09,73299.83304406963
2006-03-10,72148.01145412387
2006-03-13,71821.4606270582
2006-03-14,72529.53706124423
2006-03-15,75248.6728531926
2006-03-16,75584.18319235597
2006-03-17,77154.58617195647
2006-03-20,76615.62971585423
2006-03-21,73331.62874790633
2006-03-22,73187.860385537
2006-03-23,70554.26455216741
2006-03-24,71129.82048282147
2006-03-27,69837.26661803437
2006-03-28,68906.61803394597
2006-03-29,70320.8124094633
2006-03-30,69486.64129898399
2006-03-31,71354.421810654
2006-04-03,70292.15239473133
2006-04-04,71053.85219876279
2006-04-05,71097.08970652867
2006-04-06,67294.63612745453
2006-04-07,65250.18109748008
2006-04-10,67260.67201317221
2006-04-11,65846.08186173809
2006-04-12,69225.03093851886
2006-04-13,70037.94258261625
2006-04-17,69661.43422473861
2006-04-18,72068.58915648221
2006-04-19,74910.41713064836
2006-04-20,74617.35974260008
2006-04-21,74507.24044568086
2006-04-24,74680.24757631865
2006-04-25,74651.70056430403
2006-04-26,73654.73124387833
2006-04-27,74901.77680927387
2006-04-28,74199.08530210915
2006-05-01,76490.73561456832
2006-05-02,75400.819980381
2006-05-03,75655.37178282213
2006-05-04,74624.17972985558
2006-05-05,76513.98172669545
2006-05-08,77826.86387470957
2006-05-09,78406.58882153756
2006-05-10,77707.03831001637
2006-05-11,75872.1092582984
2006-05-12,75138.82967460135
2006-05-15,71988.04640914642
2006-05-16,72135.50126659947
2006-05-17,71283.84921753408
2006-05-18,72161.52166026096
2006-05-19,74759.08447940377
2006-05-22,70429.99484017171
2006-05-23,69882.53269717161
2006-05-24,67264.74227231549
2006-05-25,71707.3945335245
2006-05-26,70779.99076552331
2006-05-30,69386.99990133081
2006-05-31,70241.60257442105
2006-06-01,71406.43251694324
2006-06-02,70317.41709620006
2006-06-05,68691.16087686944
2006-06-06,68006.43183273774
2006-06-07,68230.90865175192
2006-06-08,67496.80283629279
2006-06-09,67001.56058384021
2006-06-12,65383.68044510229
2006-06-13,63820.59589923998
2006-06-14,63769.76715812843
2006-06-15,67719.67775559437
2006-06-16,68045.40409018396
2006-06-19,68007.39770931996
