date,equity
2006-02-13,57837.466669339796
2006-02-14,58423.050448752656
2006-02-15,58794.4492338125
2006-02-16,59337.26284274611
2006-02-17,58865.955612582446
2006-02-21,58208.86545439965
2006-02-22,58937.29492037397
2006-02-23,58780.24820064557
2006-02-24,58937.29492037397
2006-02-27,59594.38507855678
2006-02-28,58708.74182187561
2006-03-01,59508.67766661989
2006-03-02,59551.61490807756
2006-03-03,59208.78526033001
2006-03-06,58694.540788708684
2006-03-07,58351.711140961124
2006-03-08,58380.28027827342
2006-03-09,57880.23683981903
2006-03-10,57937.375114443625
2006-03-13,58108.78993831741
2006-03-14,59094.508711080816
2006-03-15,59594.38507855678
2006-03-16,59094.508711080816
2006-03-17,59250.385933960184
2006-03-20,59393.3986915001
2006-03-21,58764.37645769429
2006-03-22,58907.389215234194
2006-03-23,58735.807320381995
2006-03-24,59036.03386862876
2006-03-27,59050.23490179569
2006-03-28,58807.31369915194
2006-03-29,59922.17833824523
2006-03-30,60108.12833724281
2006-03-31,59936.54644239058
2006-04-03,60008.05282116055
2006-04-04,60336.8485067196
2006-04-05,60908.56539492238
2006-04-06,61080.14728977459
2006-04-07,60494.06229742643
2006-04-10,60408.187814511126
2006-04-11,59922.17833824523
2006-04-12,59936.54644239058
2006-04-13,60179.46764503431
2006-04-17,59550.61248220695
2006-04-18,60694.21332959095
2006-04-19,60965.70366954698
2006-04-20,60751.35160421554
2006-04-21,60036.621958472846
2006-04-24,59979.483683848244
2006-04-25,59850.839030453695
2006-04-26,59836.47092630833
2006-04-27,60408.187814511126
2006-04-28,59822.10282216296
2006-05-01,59236.01782981482
2006-05-02,59393.3986915001
2006-05-03,59307.52420858477
2006-05-04,59793.53368485068
2006-05-05,60265.34212794964
2006-05-08,60322.48040257423
2006-05-09,60093.76023309744
2006-05-10,59564.81351537387
2006-05-11,58235.42973997072
2006-05-12,57449.36078643652
2006-05-15,57406.423544978854
2006-05-16,56977.55234333754
2006-05-17,56205.68442297026
2006-05-18,55819.75046278661
2006-05-19,56248.62166442791
2006-05-22,55705.306842559
2006-05-23,55162.15909166851
2006-05-24,55533.89201868522
2006-05-25,56262.82269759485
2006-05-26,56448.60562561399
2006-05-30,55233.665470438464
2006-05-31,55490.954777227555
2006-06-01,56805.97044848534
2006-06-02,56665.96496855724
2006-06-05,55433.816502602975
2006-06-06,55390.87926114531
2006-06-07,54976.376163649365
2006-06-08,54890.66875171248
2006-06-09,54533.303928841124
2006-06-12,53461.20946022709
2006-06-13,53246.69032391721
2006-06-14,53790.00514578615
2006-06-15,55248.03357458383
2006-06-16,54841.215742095876
2006-06-19,54397.80936533077
2006-06-20,54469.31574410072
2006-06-21,55327.559360318635
2006-06-22,54626.696605786005
2006-06-23,54569.55833116142
2006-06-26,54712.57108870132
2006-06-27,53682.745577631205
2006-06-28,54083.21471293866
2006-06-29,55728.195566604525
2006-06-30,55456.37108469162
2006-07-03,55785.33384122911
2006-07-05,54569.55833116142
2006-07-06,54512.252985558385
2006-07-07,53911.465747108
2006-07-10,53439.49023303061
2006-07-11,53839.959368338044
2006-07-12,52824.50196141328
2006-07-13,51937.52213690465
2006-07-14,51408.40834820265
2006-07-17,51537.053001597196
2006-07-18,51708.80196742784
2006-07-19,52381.09558464819
2006-07-20,51608.55938036716
2006-07-21,51065.077487519804
2006-07-24,52080.701965422995
2006-07-25,52381.09558464819
2006-07-26,52338.158343190524
2006-07-27,51994.82748250768
2006-07-28,53081.95833918081
2006-07-31,53067.59023503546
2006-08-01,52180.77748150525
2006-08-02,52767.196615810266
2006-08-03,53096.15937234775
2006-08-04,52853.07109872559
2006-08-07,52509.74023804274
2006-08-08,52180.77748150525
2006-08-09,52252.28386027521
2006-08-10,52624.18385827035
2006-08-11,52252.28386027521
2006-08-14,52595.61472095806
2006-08-15,53925.83385125337
2006-08-16,55184.546602778726
2006-08-17,55399.06573908859
2006-08-18,55484.94022200392
2006-08-21,54955.659362323495
2006-08-22,54970.02746646886
2006-08-23,54555.19022701605
2006-08-24,54712.57108870132
2006-08-25,54812.64660478358
2006-08-28,55227.48384423639
2006-08-29,55399.06573908859
2006-08-30,55656.68918783456
2006-08-31,55599.38384223153
2006-09-01,55899.777461456724
2006-09-05,56443.259354304086
2006-09-06,55313.358327151705
2006-09-07,55041.36677426037
2006-09-08,55384.86470592167
2006-09-11,55728.195566604525
2006-09-12,56758.021077674646
2006-09-13,57158.490212982084
2006-09-14,57201.42745443975
2006-09-15,57406.75768693573
2006-09-18,57406.75768693573
2006-09-19,57034.523546983706
2006-09-20,57864.69923882462
2006-09-21,57506.83320301797
2006-09-22,57063.259755274434
2006-09-25,58065.01734196756
2006-09-26,58351.37699900426
2006-09-27,58279.703549255864
2006-09-28,58437.251481919586
2006-09-29,58179.62803317363
2006-10-02,57449.69492839338
2006-10-03,57692.95027299397
2006-10-04,59109.87924109679
2006-10-05,59396.07182715505
2006-10-06,59267.26010278207
2006-10-09,59467.57820592501
2006-10-10,59567.8207929857
2006-10-11,59453.37717275808
2006-10-12,60440.933726284275
2006-10-13,60727.12631234254
2006-10-16,60755.695449654835
2006-10-17,60111.636827789924
2006-10-18,59825.44424173166
2006-10-19,59968.62407025001
2006-10-20,60111.636827789924
2006-10-23,60727.12631234254
2006-10-24,60297.75389776593
2006-10-25,60727.12631234254
2006-10-26,61285.31045129213
2006-10-27,60412.19751799354
2006-10-30,60798.6326911125
2006-10-31,60941.81251963083
2006-11-01,60111.636827789924
2006-11-02,60168.94217339295
2006-11-03,60011.56131170767
2006-11-06,60884.50717402782
2006-11-07,61299.678555437495
2006-11-08,61585.87114149575
2006-11-09,61256.74131397984
2006-11-10,61585.87114149575
2006-11-13,62201.36062604837
2006-11-14,62873.98838522557
2006-11-15,63131.61183397155
2006-11-16,63403.60338686287
2006-11-17,63403.60338686287
2006-11-20,63532.41511123586
2006-11-21,63618.28959415119
2006-11-22,64018.92580043706
2006-11-24,63904.48218020943
2006-11-27,62487.55321210664
2006-11-28,62644.93407379191
2006-11-29,63074.30648836852
2006-11-30,63031.369246910865
2006-12-01,62487.55321210664
2006-12-04,63346.298041259855
2006-12-05,63575.352352693524
2006-12-06,63346.298041259855
2006-12-07,62544.85855770967
2006-12-08,62831.051143767916
2006-12-11,63060.1054552016
2006-12-12,62687.87131524958
2006-12-13,62802.482006455626
2006-12-14,63503.678902945125
2006-12-15,63667.74260376779
2006-12-18,63037.21673115608
2006-12-19,62836.731557034684
2006-12-20,62607.343103644154
2006-12-21,62163.10137198687
2006-12-22,61518.374466208224
2006-12-26,61776.16498593263
2006-12-27,62091.427922238494
2006-12-28,61790.533090077995
2006-12-29,61847.83843568103
2007-01-03,61962.44912688706
2007-01-04,63137.62638919519
2007-01-05,62836.731557034684
2007-01-08,62879.66879849235
2007-01-09,63194.93173479822
2007-01-10,63940.068298615995
2007-01-11,64599.16330854001
2007-01-12,64928.79434899123
2007-01-16,64885.857107533564
2007-01-17,64355.573821982536
2007-01-18,63166.19552650749
2007-01-19,63295.174321858896
2007-01-22,62607.343103644154
2007-01-23,62449.79517098044
2007-01-24,63481.458462813345
