fill_id,date,symbol,side,shares,mkt_px,fill_px,slippage_pct,commission,sec,taf,total_fees,cash_after,reason,notional
1,2006-01-31,VRTX,BUY,139.83776581760907,35.72,35.75572,0.001,1.0,0.0,0.0,1.0,4999.0,entry_new,5000.0
2,2006-01-31,ISRG,BUY,326.99415716428206,15.2522,15.2674522,0.001,1.6349707858214104,0.0,0.0,1.6349707858214104,4.997365029214961,entry_new,4992.367664184963
3,2006-02-28,ISRG,SELL,326.99415716428206,10.0222,10.0121778,0.001,1.6349707858214104,0.09101507722230022,0.05428103008927082,1.7802668931329815,3277.1407392260176,exit_rank_or_left_ndx,3273.9236410899357
4,2006-02-28,VRTX,SELL,32.02410100286077,43.24,43.196760000000005,0.001,1.0,0.03845677986557015,0.0053160007664748874,1.0437727806320451,4659.434371681722,rebalance_trim,1383.337405236336
5,2006-02-28,AKAM,BUY,175.4387475660204,26.5,26.5265,0.001,1.0,0.0,0.0,1.0,4.658434371682233,entry_new,4653.77593731004
6,2006-03-31,AKAM,SELL,27.67740920497244,32.89,32.85711,0.001,1.0,0.02528131106960562,0.004594449928025425,1.029875760997631,913.0282373734767,rebalance_trim,909.3996787627921
7,2006-03-31,VRTX,BUY,24.875813149302274,36.59,36.62659,0.001,1.0,0.0,0.0,1.0,0.9120282373735336,rebalance_add,911.1162091361032
8,2006-05-31,VRTX,SELL,132.68947796405058,34.5,34.4655,0.001,1.0,0.1271352158370056,0.022026453342032397,1.149161669179038,4572.97206933818,exit_rank_or_left_ndx,4573.2092027699855
9,2006-05-31,TCOM,BUY,771.6102203663153,5.9097,5.915609699999999,0.001,3.8580511018315766,0.0,0.0,3.8580511018315766,4.569114018236178,entry_new,4564.544904218112
10,2006-06-30,AKAM,SELL,6.63798833359602,36.19,36.15381,0.001,1.0,0.00667168221806231,0.0011019060633769393,1.0077735882814394,243.54990942500186,rebalance_trim,239.98856899504713
11,2006-06-30,TCOM,BUY,38.41269724381604,6.3017,6.308001699999999,0.001,1.0,0.0,0.0,1.0,0.24254990942498011,rebalance_add,242.30735951557688
12,2006-07-31,AKAM,SELL,6.705180702124593,39.63,39.59037,0.001,1.0,0.0073798042606084335,0.0011130599965526824,1.0084928642571611,264.6946419591402,rebalance_trim,265.4605849139724
13,2006-07-31,TCOM,BUY,42.120323229456375,6.248,6.254248,0.001,1.0,0.0,0.0,1.0,0.26369464195914816,rebalance_add,263.43094731718105
14,2006-10-31,TCOM,SELL,852.1432408395876,6.0487,6.0426513,0.001,4.260716204197938,0.14314788404486622,0.14145577797937153,4.545319866222176,5144.922836821283,exit_rank_or_left_ndx,5149.204462045547
15,2006-10-31,AKAM,SELL,12.312340778527062,46.86,46.81314,0.001,1.0,0.016023345446082516,0.002043848569235492,1.018067194015318,5720.284102220165,rebalance_trim,576.3793325928963
16,2006-10-31,ORCL,BUY,389.266032438025,14.6607,14.675360699999999,0.001,1.946330162190125,0.0,0.0,1.946330162190125,5.718337772058476,entry_new,5712.619434285916
17,2007-01-31,AKAM,SELL,122.10582854680031,56.18,56.12382,0.001,1.0,0.19051466607625922,0.02026956753876885,1.210784233615028,6857.553095849926,exit_rank_or_left_ndx,6853.045542311483
18,2007-01-31,ORCL,SELL,389.266032438025,13.6209,13.607279100000001,0.001,1.946330162190125,0.14725247302144132,0.06461816138471214,2.1582007965962786,12152.24644258719,exit_rank_or_left_ndx,5296.85154753386
19,2007-01-31,WYNN,BUY,95.27839519508309,63.7086,63.77230859999999,0.001,1.0,0.0,0.0,1.0,6075.123221293595,entry_new,6076.123221293595
20,2007-01-31,EXPE,BUY,214.597748074279,28.2478,28.276047799999997,0.001,1.072988740371395,0.0,0.0,1.072988740371395,6.074050232553418,entry_new,6067.97618232067
21,2007-02-28,EXPE,SELL,214.597748074279,27.9976,27.9696024,0.001,1.072988740371395,0.166861540570128,0.035623226180330314,1.2754735071218533,6007.01226629838,exit_rank_or_left_ndx,6002.213689572949
22,2007-02-28,WYNN,BUY,6.098052573310828,55.8861,55.941986099999994,0.001,1.0,0.0,0.0,1.0,5664.875094005157,rebalance_add,341.13717229322356
23,2007-02-28,RYAAY,BUY,389.2859243828145,14.5179,14.532417899999997,0.001,1.9464296219140726,0.0,0.0,1.9464296219140726,5.662928664383799,entry_new,5657.265735718859
24,2007-05-31,WYNN,SELL,101.37644776839392,55.0195,54.9644805,0.001,1.0,0.15490448526539932,0.01682849032955339,1.1717329755949528,5576.594982213945,exit_rank_or_left_ndx,5572.103786525156
25,2007-05-31,RYAAY,SELL,389.2859243828145,13.3655,13.3521345,0.001,1.9464296219140726,0.1444987849925895,0.06462146344754721,2.1555498703542093,10772.23745365976,exit_rank_or_left_ndx,5197.798021316169
26,2007-05-31,LBTYA,BUY,646.0632753606338,8.3285,8.3368285,0.001,3.2303163768031693,0.0,0.0,3.2303163768031693,5382.888410453077,entry_new,5386.11872682988
27,2007-05-31,PCAR,BUY,258.3900556964238,20.7858,20.806585799999997,0.001,1.291950278482119,0.0,0.0,1.291950278482119,5.381596460174478,entry_new,5376.21486371442
28,2007-07-31,LBTYA,SELL,45.884394695559045,9.0941,9.085005899999999,0.001,1.0,0.011588707903452896,0.007616809519462801,1.0192055174229158,421.22238746983413,rebalance_trim,416.85999652708256
29,2007-07-31,PCAR,BUY,21.520383744621697,19.4877,19.5071877,0.001,1.0,0.0,0.0,1.0,0.42022238746983476,rebalance_add,419.8021650823643
30,2007-08-31,LBTYA,SELL,600.1788806650748,8.888,8.879112,0.001,3.0008944033253737,0.14814774294058336,0.0996296941904024,3.2486718404563595,5326.227052006847,exit_rank_or_left_ndx,5329.055501459833
31,2007-08-31,PCAR,SELL,279.9104394410455,20.4393,20.4188607,0.001,1.3995521972052276,0.15888957314554533,0.04646513294721356,1.6049069032979866,11040.074416526044,exit_rank_or_left_ndx,5715.452271422494
32,2007-08-31,GRMN,BUY,99.92285768915313,55.1878,55.242987799999995,0.001,1.0,0.0,0.0,1.0,5519.037208263022,entry_new,5520.037208263022
33,2007-08-31,ISRG,BUY,223.97942380530534,24.5866,24.611186599999996,0.001,1.1198971190265268,0.0,0.0,1.1198971190265268,5.517917311143719,entry_new,5512.399393832851
34,2007-10-31,ISRG,SELL,31.84282195316597,36.3188,36.28248120000001,0.001,1.0,0.03211835717060523,0.005285908444225551,1.0374042656148308,1159.8171019162205,rebalance_trim,1155.3365888706917
35,2007-10-31,GRMN,BUY,19.868945616576728,58.2065,58.26470649999999,0.001,1.0,0.0,0.0,1.0,1.1588171019161564,rebalance_add,1157.6582848143044
36,2007-11-30,GRMN,SELL,119.79180330572986,58.1794,58.1212206,0.001,1.0,0.19355599396291495,0.019885439348751154,1.213441433311666,6962.391201672739,exit_rank_or_left_ndx,6962.445826004135
37,2007-11-30,TCOM,BUY,466.4665004125889,14.891,14.905890999999999,0.001,2.3323325020629446,0.0,0.0,2.3323325020629446,6.960058869171007,entry_new,6953.098810301505
38,2008-02-29,TCOM,SELL,466.4665004125889,15.0173,15.0022827,0.001,2.3323325020629446,0.19454613219768727,0.07743343906848976,2.6043120733291216,7002.418056065168,exit_rank_or_left_ndx,6998.062309269326
39,2008-02-29,STLD,BUY,337.03954556751313,19.2974,19.3166974,0.001,1.6851977278375656,0.0,0.0,1.6851977278375656,490.24194477616766,entry_new,6510.490913561162
40,2008-02-29,ISRG,BUY,15.587351661739685,31.3244,31.355724399999996,0.001,1.0,0.0,0.0,1.0,0.48924194477609717,rebalance_add,488.75270283139156
41,2008-04-30,ISRG,SELL,207.72395351387905,32.14,32.10786,0.001,1.0386197675693953,0.18541409098234984,0.034482176283303925,1.258516034835049,6668.802343980078,exit_rank_or_left_ndx,6669.571618070137
42,2008-04-30,STLD,SELL,24.29951638502131,23.1202,23.0970798,0.001,1.0,0.015602690759485602,0.0040337197199135375,1.0196364104793991,7229.0305766158435,rebalance_trim,561.2478690462447
43,2008-04-30,CHRW,BUY,172.06100850293495,41.9246,41.96652459999999,0.001,1.0,0.0,0.0,1.0,7.22803057661622,entry_new,7220.802546039227
44,2008-06-30,CHRW,SELL,172.06100850293495,36.8097,36.7728903,0.001,1.0,0.1758956204182851,0.0285621274114872,1.2044577478297722,6333.204163414581,exit_rank_or_left_ndx,6327.180590585795
45,2008-06-30,STLD,SELL,34.507321433374415,25.985,25.959015,0.001,1.0,0.024902574876626307,0.005728215357940152,1.0306307902345664,7227.949607323134,rebalance_trim,895.776074698788
46,2008-06-30,BBBY,BUY,327.7602482629166,22.0035,22.025503499999996,0.001,1.6388012413145832,0.0,0.0,1.6388012413145832,7.226310806082438,entry_new,7219.084495275737
47,2008-07-31,STLD,SELL,278.23270774911737,21.07,21.04893,0.001,1.391163538745587,0.16281072193758128,0.046186629486353485,1.6001608901695217,5862.126939037541,exit_rank_or_left_ndx,5856.500789121628
48,2008-07-31,BBBY,BUY,30.72650946152787,15.0591,15.0741591,0.001,1.0,0.0,0.0,1.0,5397.950646826815,rebalance_add,463.1762922107264
49,2008-07-31,VRTX,BUY,156.12079793192282,34.5,34.534499999999994,0.001,1.0,0.0,0.0,1.0,5.396950646826554,entry_new,5391.553696179988
50,2008-09-30,BBBY,SELL,24.609828413520944,16.7973,16.7805027,0.001,1.0,0.011480435121481574,0.004085231516644476,1.015565666638126,417.34667711981336,rebalance_trim,412.9652921396249
51,2008-09-30,VRTX,BUY,12.500445716819089,33.24,33.27324,0.001,1.0,0.0,0.0,1.0,0.41634667711980455,rebalance_add,415.93033044269356
52,2008-10-31,BBBY,SELL,333.8769293109236,10.5227,10.512177300000001,0.001,1.6693846465546178,0.09757170266882868,0.055423570265613314,1.82237991948906,3508.3674440536265,exit_rank_or_left_ndx,3509.7734772959957
53,2008-10-31,VRTX,SELL,17.382589698204864,26.21,26.183790000000002,0.001,1.0,0.012652949777128077,0.002885509889902007,1.0155384596670303,3962.493983907919,rebalance_trim,455.1420783139596
54,2008-10-31,AMGN,BUY,98.3311009832416,40.2068,40.247006799999994,0.001,1.0,0.0,0.0,1.0,3.9614939839079852,entry_new,3957.532489924011
55,2008-12-31,VRTX,SELL,151.23865395053704,30.38,30.349619999999998,0.001,1.0,0.12760299181254628,0.025105616555789148,1.1527086083683356,4592.844462085837,exit_rank_or_left_ndx,4590.035676710298
56,2008-12-31,RYAAY,BUY,446.00955711077125,9.4132,9.422613199999999,0.001,2.2300477855538565,0.0,0.0,2.2300477855538565,388.0388741421766,entry_new,4202.575540158106
57,2008-12-31,AMGN,BUY,9.962975842165385,38.7701,38.80887009999999,0.001,1.0,0.0,0.0,1.0,0.3870388741421493,rebalance_add,386.65183526803446
58,2009-03-31,AMGN,SELL,108.29407682540699,33.245,33.211755,0.001,1.0,0.09998649045984934,0.01797681675301756,1.117963307212867,3595.9054230435236,exit_rank_or_left_ndx,3596.6363474765944
59,2009-03-31,AKAM,BUY,178.49081632084594,19.4,19.419399999999996,0.001,1.0,0.0,0.0,1.0,128.7208645824885,entry_new,3466.184558461035
60,2009-03-31,RYAAY,BUY,17.039271463882546,7.4807,7.488180699999999,0.001,1.0,0.0,0.0,1.0,0.12772086458249987,rebalance_add,127.59314371790602
61,2009-04-30,RYAAY,SELL,463.0488285746538,8.8532,8.844346799999999,0.001,2.315244142873269,0.11385113102189405,0.07686610554339253,2.505961379438556,4092.986184733131,exit_rank_or_left_ndx,4095.364425247987
62,2009-04-30,AKAM,BUY,3.6888272796255372,22.02,22.042019999999997,0.001,0.8130920467405167,0.0,0.0,0.8130920467405167,4010.8638880123385,rebalance_add,81.30920467405167
63,2009-04-30,MRVL,BUY,428.0761486113891,9.3458,9.355145799999999,0.001,2.1403807430569457,0.0,0.0,2.1403807430569457,4.008723507269224,entry_new,4004.7147837620123
64,2009-06-30,AKAM,SELL,182.17964360047148,19.18,19.16082,0.001,1.0,0.09704177577165947,0.030241820837678266,1.1272835966093377,3493.592798603446,exit_rank_or_left_ndx,3490.7113586927862
65,2009-06-30,MRVL,SELL,428.0761486113891,9.9075,9.8975925,0.001,2.1403807430569457,0.11778646712631419,0.07106064066949058,2.3292278508527504,7728.186848677564,exit_rank_or_left_ndx,4236.9232779249705
66,2009-06-30,JAVA,BUY,448.8956428527147,8.5994,8.607999399999999,0.001,2.2444782142635735,0.0,0.0,2.2444782142635735,3861.848946124519,entry_new,3864.0934243387815
67,2009-06-30,BIDU,BUY,127.97286400133444,30.109,30.139108999999998,0.001,1.0,0.0,0.0,1.0,3.860848946124406,entry_new,3856.9880971783946
68,2009-07-31,JAVA,SELL,448.8956428527147,8.5527,8.5441473,0.001,2.2444782142635735,0.10662496775715767,0.07451667671355064,2.4256198587342817,3836.8657239491768,exit_rank_or_left_ndx,3835.4304948617864
69,2009-07-31,BIDU,SELL,8.881219673023509,34.814,34.779186,0.001,1.0,0.00858690822743544,0.0014742824657219024,1.0100611906931574,4144.737253673427,rebalance_trim,308.88159091494384
70,2009-07-31,STX,BUY,664.7589716847189,6.2175,6.223717499999999,0.001,3.3237948584235943,0.0,0.0,3.3237948584235943,4.141413458814895,entry_new,4137.272045356189
71,2009-08-31,BIDU,SELL,119.09164432831093,33.006,32.972994,0.001,1.0,0.10916526445407336,0.019769212958499614,1.128934477412573,3929.8205528689327,exit_rank_or_left_ndx,3926.8080738875306
72,2009-08-31,STX,SELL,57.65139148894835,7.1522,7.1450477999999995,0.001,1.0,0.011451430152316365,0.009570130987165425,1.0210215611394817,4340.721479232842,rebalance_trim,411.9219479250491
73,2009-08-31,WYNN,BUY,133.88763299101544,32.3484,32.380748399999995,0.001,1.0,0.0,0.0,1.0,4.339721479233049,entry_new,4335.381757753609
74,2009-09-30,STX,SELL,607.1075801957705,7.8545,7.8466455,0.001,3.0355379009788526,0.1324324713480211,0.1007798583124979,3.2687502306393714,4764.828933407626,exit_rank_or_left_ndx,4763.757962159032
75,2009-09-30,WYNN,SELL,10.707313346532576,42.3642,42.321835799999995,0.001,1.0,0.012597657773248585,0.0017774140155244077,1.014375071788773,5216.967715646938,rebalance_trim,453.15315731110013
76,2009-09-30,EXPE,BUY,165.04532965112864,31.5401,31.571640099999996,0.001,1.0,0.0,0.0,1.0,5.2159677156469115,entry_new,5210.751747931291
77,2009-11-30,WYNN,SELL,123.18031964448286,40.961,40.920038999999996,0.001,1.0,0.14012710885199478,0.020447933060984157,1.160575041912979,5044.598876558438,exit_rank_or_left_ndx,5040.543483884704
78,2009-11-30,EXPE,SELL,165.04532965112864,33.5549,33.521345100000005,0.001,1.0,0.15380465237612917,0.027397524722087355,1.1812021770982166,10575.959126760086,exit_rank_or_left_ndx,5532.541452378747
79,2009-11-30,BKNG,BUY,629.8898096406847,8.3867,8.395086699999998,0.001,3.1494490482034236,0.0,0.0,3.1494490482034236,5284.8301143318395,entry_new,5287.979563380043
80,2009-11-30,STX,BUY,674.6153529736281,7.8132,7.821013199999999,0.001,3.3730767648681406,0.0,0.0,3.3730767648681406,5.2814570375667245,entry_new,5276.175580529404
81,2009-12-31,STX,SELL,674.6153529736281,9.3933,9.3839067,0.001,3.3730767648681406,0.17598866535324023,0.11198614859362226,3.661051578815003,6332.147936150845,exit_rank_or_left_ndx,6330.527530692094
82,2009-12-31,WYNN,BUY,158.41625559580723,36.9563,36.99325629999999,0.001,1.0,0.0,0.0,1.0,470.81479080884037,entry_new,5860.333145342005
83,2009-12-31,BKNG,BUY,54.80918090851969,8.5547,8.5632547,0.001,1.0,0.0,0.0,1.0,0.46981479080886857,rebalance_add,469.3449760180315
84,2010-03-31,WYNN,SELL,158.41625559580723,48.1263,48.0781737,0.001,1.0,0.21173492624559914,0.026297098428904,1.2380320246745031,7615.596036204952,exit_rank_or_left_ndx,7616.364253438817
85,2010-03-31,BIDU,BUY,120.93628828468262,59.7,59.759699999999995,0.001,1.0,0.0,0.0,1.0,387.4797291988043,entry_new,7227.1163070061475
86,2010-03-31,BKNG,BUY,38.61786799171768,9.9878,9.9977878,0.001,1.0,0.0,0.0,1.0,0.38647972919881113,rebalance_add,386.0932494696055
87,2010-04-30,BIDU,SELL,6.586128380952962,68.896,68.827104,0.001,1.0,0.012601855176322993,0.0010932973112381917,1.013695152487561,452.6769276099124,rebalance_trim,453.30414303320117
88,2010-04-30,BKNG,BUY,43.91801210113956,10.264,10.274263999999999,0.001,1.0,0.0,0.0,1.0,0.45167692760992395,rebalance_add,451.2252506823025
89,2010-06-30,BKNG,SELL,767.2348706420617,6.9147,6.9077853,0.001,3.8361743532103083,0.14733704655770805,0.12736098852658223,4.110872388294599,5296.23456560795,exit_rank_or_left_ndx,5299.893761068634
90,2010-06-30,BIDU,SELL,18.277940075190692,68.08,68.01192,0.001,1.0,0.03455867478881085,0.003034138052481655,1.0375928128412926,6538.314770953772,rebalance_trim,1243.1177981586634
91,2010-06-30,BBBY,BUY,425.7387637495086,15.3219,15.337221899999998,0.001,2.1286938187475433,0.0,0.0,2.1286938187475433,6.536186077135426,entry_new,6529.649891057888
92,2010-08-31,BBBY,SELL,425.7387637495086,11.8794,11.8675206,0.001,2.1286938187475433,0.14045848666264,0.07067263478241843,2.3398249401926017,5056.65991015277,exit_rank_or_left_ndx,5052.463549015827
93,2010-08-31,BIDU,SELL,15.79933884355185,78.43,78.35157000000001,0.001,1.0,0.034413703493248765,0.002622690248029607,1.0370363937412783,6293.5258771133,rebalance_trim,1237.903003354272
