date,holdings,n,equity,cash
2005-11-30,,0,10000.0,10000.0
2017-06-30,MELI:154.86@250.62 | TSLA:1613.24@24.11,2,77739.76580287985,38.88779021512164
2017-07-31,MELI:137.79@288.12 | VRTX:260.93@151.82,2,79354.16693055781,39.693210006887966
2017-08-31,TSLA:1628.75@23.73 | VRTX:241.28@160.54,2,77418.24388867867,38.72224980061583
2017-10-31,BIDU:145.57@243.94 | NVDA:6972.61@5.10,2,71129.458176144,35.58234450022428
2017-11-30,ALGN:132.37@260.88 | MU:836.39@41.34,2,69140.96692522646,34.602445672644535
2018-01-31,ALGN:132.37@262.00 | MU:836.39@42.63,2,70373.93674963777,34.602445672644535
2018-02-28,NFLX:1277.33@29.14 | STX:959.11@38.76,2,74426.55851934131,37.24488281199592
2018-04-30,NFLX:1277.33@31.25 | STX:959.11@42.46,2,80669.32222460286,37.24488281199592
2018-05-31,NFLX:1202.87@35.16 | STX:1023.12@41.33,2,84578.22317949933,2.65068416913482
2018-07-31,MU:772.83@51.48 | NFLX:1202.87@33.74,2,80413.69707073318,39.86275037142332
2018-08-31,ALGN:108.24@386.49 | ILMN:121.07@345.17,2,83664.51445467066,41.87306854803319
2018-10-31,ALGN:136.95@221.20 | ILMN:100.16@302.68,2,60614.524240078616,6.363747938556116
2018-11-30,CMCSA:1093.54@29.37 | ORLY:1387.41@23.12,2,64227.0583747696,32.13942427382062
2018-12-31,ORLY:1307.70@22.96 | WDAY:187.59@159.68,2,60003.77427234475,30.01491773928865
2019-01-31,SBUX:552.88@57.84 | WDAY:176.54@181.53,2,64056.02046894564,32.04108430449196
2019-02-28,SBUX:568.07@59.95 | WDAY:172.08@197.93,2,68114.38540509832,0.9121644952268753
2019-04-30,MELI:75.23@484.14 | WDAY:177.48@205.63,2,72954.62999838524,36.49508202110883
2019-05-31,MELI:69.40@570.52 | WDAY:193.91@204.12,2,79176.27892232803,3.359135166496344
2019-07-31,CDNS:552.63@73.91 | MELI:65.87@621.42,2,81818.07425043965,40.92645097104105
2019-09-30,HAS:394.87@91.97 | QCOM:554.22@65.60,2,72711.50476601548,36.389717219004524
2019-10-31,COST:125.92@270.87 | KLAC:2181.40@15.61,2,68202.56081442325,34.129411127985804
2019-12-31,KLAC:2110.80@16.54 | TSLA:1248.85@27.89,2,69770.58690437298,34.898479887975554
2020-01-31,AMD:919.36@47.00 | TSLA:998.66@43.37,2,86566.24467632629,43.29620643002272
