year,strat,qqq,excess,crush
2005,0.0,0.1545206065344802,-0.1545206065344802,False
2006,0.1787944321497419,0.048112096399732796,0.1306823357500091,False
2007,0.15049057978688252,0.18807684529828128,-0.037586265511398764,False
2008,-0.37735618204997023,-0.4083695081151325,0.031013326065162272,False
2009,0.3488822237868825,0.4826731564566942,-0.13379093266981168,False
2010,0.1898257478741039,0.18178728007602296,0.008038467798080928,False
2011,-0.18215710863173795,0.01795600097573491,-0.20011310960747286,True
2012,0.6819197202357345,0.15891221092650976,0.5230075093092248,False
2013,0.5751506997370766,0.32425537162263507,0.2508953281144415,False
2014,0.16300306115807817,0.201235590380608,-0.03823252922252984,False
2015,0.4810789328417191,0.09765956770838846,0.38341936513333064,False
2016,0.12843458217097758,0.0940539315211606,0.03438065064981699,False
2017,-0.03330157252482069,0.31488419436061355,-0.34818576688543423,True
2018,-0.08125397039438398,-0.01847035780186923,-0.06278361259251475,False
2019,0.1692692704376575,0.38405013916258657,-0.21478086872492907,False
2020,4.041421600400766,0.4618152890917395,3.5796063113090266,False
2021,1.1516145175909585,0.2924456192712861,0.8591688983196724,False
2022,-0.008935564769576798,-0.3322276564905501,0.3232920917209733,False
2023,0.5606230493103452,0.559100509217068,0.001522540093277236,False
2024,0.08165067719260821,0.27739777924899256,-0.19574710205638435,False
2025,0.5893178490821438,0.2100920610317747,0.3792257880503691,False
2026,1.7484742802864846,0.18610760978496677,1.5623666705015178,False
