trade_id,symbol,entry_date,exit_date,hold_days,shares,entry_px,exit_px,entry_mkt_px,exit_mkt_px,gross_pnl,entry_fees,exit_fees,total_fees,net_pnl,return_pct,reason_entry,reason_exit,status
49,MU,2016-11-30,2017-01-31,62,5649.61145157723,19.063444399999998,23.4870894,19.063444399999998,23.5106,24991.875449712355,28.24805725788615,32.87475619167711,61.12281344956325,24930.75263626279,0.23204856935507423,entry_new,exit_rank_or_left_ndx,CLOSED
50,CSX,2017-01-31,2017-03-31,59,9747.00168169723,13.602789199999998,13.6738125,13.602789199999998,13.6875,692.2642245397064,48.735008408486145,54.0581578090773,102.79316621756345,589.471058322143,0.0052212306576067125,entry_new,exit_rank_or_left_ndx,CLOSED
51,MU,2017-03-31,2017-05-31,61,4721.797078511136,28.209681499999995,29.974995,28.209681499999995,30.005,8335.45212695629,23.608985392555677,28.327500165767454,51.93648555832313,8283.515641397968,0.06257828540176913,entry_new,exit_rank_or_left_ndx,CLOSED
52,JD,2017-05-31,2017-06-30,30,4017.9723229557026,35.2115764,34.4301354,34.4646,34.4646,-3139.808310022831,20.089861614778513,24.602678425325482,44.69254004010399,-3184.5008500629347,-0.02219272977508613,entry_new,exit_rank_or_left_ndx,CLOSED
53,TSLA,2017-06-30,2017-07-31,31,5730.675646112368,24.131407299999996,21.5431353,21.5647,21.5647,-14832.54731591453,28.653378230561838,33.03676722618475,61.69014545674659,-14894.237461371276,-0.10725739977875215,entry_new,exit_rank_or_left_ndx,CLOSED
54,VRTX,2017-07-31,2017-10-31,92,812.2196114023751,151.97181999999998,146.08377,146.23,146.23,-4782.389682917748,4.0610980570118755,7.494454973168981,11.555553030180857,-4793.945235947929,-0.03874435405195509,entry_new,exit_rank_or_left_ndx,CLOSED
55,LRCX,2017-10-31,2017-11-30,30,6396.290114093934,18.544726199999996,17.0665164,17.0836,17.0836,-9455.058730296738,31.98145057046967,36.077949175060574,68.05939974553024,-9523.118130042267,-0.07971052168998838,entry_new,exit_rank_or_left_ndx,CLOSED
56,MU,2017-11-30,2018-01-31,62,2637.2496834495164,41.3774361,42.590367,41.3774361,42.633,3198.8016320711463,13.186248417247583,16.74656767120742,29.932816088455002,3168.8688159826916,0.029313824497695373,entry_new,exit_rank_or_left_ndx,CLOSED
57,STX,2018-01-31,2018-02-28,28,2800.078417752298,40.101561499999995,38.716344899999996,38.7551,38.7551,-3878.7151055722165,14.000392088761489,17.478969795279458,31.479361884040948,-3910.194467456258,-0.0345427097645562,entry_new,exit_rank_or_left_ndx,CLOSED
58,MELI,2018-02-28,2018-04-30,61,279.10802203558296,388.35796999999997,339.27039,339.61,339.61,-13700.737360313426,1.3955401101779148,4.074339874006137,5.469879984184052,-13706.20724029761,-0.12639776647302992,entry_new,exit_rank_or_left_ndx,CLOSED
59,NFLX,2018-04-30,2018-07-31,92,3027.3636073568714,31.277245999999995,33.711254999999994,31.277245999999995,33.745,7368.63026657909,15.136818036784357,18.476523493565697,33.613341530350056,7335.01692504874,0.07782043853861054,entry_new,exit_rank_or_left_ndx,CLOSED
60,ALGN,2018-07-31,2018-10-31,92,285.7901172049744,357.0066499999999,220.97879999999998,221.2,221.2,-38875.415194640664,1.4289505860248721,3.232060634301344,4.661011220326216,-38880.07620586098,-0.3810232946641189,entry_new,exit_rank_or_left_ndx,CLOSED
61,SBUX,2018-10-31,2018-12-31,61,1283.0375804785124,49.2446955,54.608137199999994,49.2446955,54.6628,6881.4972618055535,6.415187902392562,8.575959464677235,14.991147367069797,6866.506114438484,0.10891410019988834,entry_new,exit_rank_or_left_ndx,CLOSED
62,NTES,2018-12-31,2019-01-31,31,1735.884410372309,40.3484081,43.1009559,40.3484081,43.1441,4778.1048148246,8.679422051861545,11.047526976230282,19.726949028091827,4758.377865796509,0.06821948943259559,entry_new,exit_rank_or_left_ndx,CLOSED
63,WDAY,2019-01-31,2019-04-30,89,411.6437007294209,181.71152999999998,205.42436999999998,181.71152999999998,205.63,9761.241212404642,2.0582185036471046,4.4773651692215015,6.535583672868606,9754.705628731774,0.1304971676811042,entry_new,exit_rank_or_left_ndx,CLOSED
64,MELI,2019-04-30,2019-07-31,92,174.45770398022967,484.62413999999995,620.79858,484.62413999999995,621.42,23756.680143193556,1.0,4.039786017108155,5.039786017108155,23751.64035717645,0.28098979964142945,entry_new,exit_rank_or_left_ndx,CLOSED
65,HAS,2019-07-31,2019-09-30,61,1152.0575782863857,93.9792854,91.8794286,91.9714,91.9714,-2419.155939756197,5.760287891431928,8.894170347229098,14.654458238661025,-2433.810397994858,-0.022343825993807798,entry_new,exit_rank_or_left_ndx,CLOSED
66,WDC,2019-09-30,2019-10-31,31,2427.24259631418,43.6016581,38.0194425,38.0575,38.0575,-13549.39148612953,12.1362129815709,15.104586259569524,27.240799241140422,-13576.632285370672,-0.12802759902380878,entry_new,exit_rank_or_left_ndx,CLOSED
67,LRCX,2019-10-31,2019-12-31,61,3673.340249876833,25.116791699999997,27.1586142,25.116791699999997,27.1858,7500.308772354148,18.366701249384164,21.749882423537994,40.11658367292216,7460.192188681225,0.08129312550694934,entry_new,exit_rank_or_left_ndx,CLOSED
68,TSLA,2019-12-31,2020-06-30,182,3571.917814619628,27.9165887,71.9153127,27.9165887,71.9873,157159.8260761322,17.859589073098142,25.593668737167583,43.453257810265725,157116.37281832192,1.5760780972497548,entry_new,exit_rank_or_left_ndx,CLOSED
69,ZM,2020-06-30,2020-07-31,31,1011.4040204208692,253.79353999999995,253.65609,253.79353999999995,253.91,-139.01748260679219,5.057020102104346,12.356969510094823,17.413989612199167,-156.43147221899136,-0.0005415819488547857,entry_new,exit_rank_or_left_ndx,CLOSED
70,TSLA,2020-07-31,2020-12-31,153,2686.6864121845506,95.479384,234.9880767,95.479384,235.2233,374816.10905871994,13.433432060922753,31.430653786273922,44.86408584719668,374771.2449728727,1.4611394298480183,entry_new,exit_rank_or_left_ndx,CLOSED
71,MRNA,2020-12-31,2021-03-31,90,6033.049197211707,104.57446999999999,130.81904999999998,104.57446999999999,130.95,158334.84230015834,30.165245986058537,53.10754200818913,83.27278799424766,158251.5695121641,0.25096546030785505,entry_new,exit_rank_or_left_ndx,CLOSED
72,BIDU,2021-03-31,2021-04-30,30,3623.1673524581884,217.76755,210.11967,210.33,210.33,-27709.54913151788,18.115836762290943,39.88138719380042,57.99722395609136,-27767.546355473973,-0.035119465687151186,entry_new,exit_rank_or_left_ndx,CLOSED
73,AMAT,2021-04-30,2021-06-30,61,5987.508386486533,127.14081379999999,136.3896738,127.14081379999999,136.5262,55377.62681543988,29.937541932432666,53.63390230126245,83.57144423369512,55294.05537120618,0.07274501179887838,entry_new,exit_rank_or_left_ndx,CLOSED
74,MRNA,2021-06-30,2021-11-30,153,3471.3266074126923,235.21497999999997,352.07757,235.21497999999997,352.43,405668.2180781605,17.35663303706346,51.90937263176886,69.26600566883232,405598.9520724917,0.4968331098640062,entry_new,exit_rank_or_left_ndx,CLOSED
75,TSLA,2021-11-30,2021-12-31,31,3198.4402298912614,381.96828669999996,351.90774,352.26,352.26,-96146.86189780492,15.992201149456308,47.81359549218424,63.80579664164055,-96210.66769444656,-0.07869906415453198,entry_new,exit_rank_or_left_ndx,CLOSED
76,LCID,2021-12-31,2022-02-28,59,2955.230032863592,380.8805,289.5102,289.8,289.8,-270020.25467175624,14.77615016431796,39.05154316229091,53.82769332660887,-270074.0823650828,-0.23989230217876734,entry_new,exit_rank_or_left_ndx,CLOSED
77,DLTR,2022-02-28,2022-03-31,31,6017.140165635816,142.22208,159.98985000000002,142.22208,160.15,106911.16252077915,30.08570082817908,57.847087695982204,87.93278852416128,106823.229732255,0.1249297577422579,entry_new,exit_rank_or_left_ndx,CLOSED
78,VRTX,2022-03-31,2022-05-31,61,3684.472205524688,261.23097,268.38135,261.23097,268.65,26345.37636893956,18.42236102762344,46.52383617640272,64.94619720402616,26280.430171735534,0.027371869422679884,entry_new,exit_rank_or_left_ndx,CLOSED
79,CEG,2022-05-31,2023-01-31,245,16407.431852005764,60.25859839999999,82.9611558,60.25859839999999,83.0442,372490.6634067493,82.03715926002882,122.60158332969105,204.63874258971987,372286.02466415963,0.37675216488274677,entry_new,exit_rank_or_left_ndx,CLOSED
80,MRNA,2023-01-31,2023-02-28,28,7720.587808027929,176.23605999999998,138.67119,138.81,138.81,-290022.877332154,38.602939040139645,69.64787876398881,108.25081780412846,-290131.12814995815,-0.2131508727555529,entry_new,exit_rank_or_left_ndx,CLOSED
81,NVDA,2023-02-28,2023-10-31,245,46171.65804056113,23.187664499999997,40.6633959,23.187664499999997,40.7041,806883.4942094967,230.85829020280565,290.7171856428434,521.5754758456491,806361.918733651,0.753665010117772,entry_new,exit_rank_or_left_ndx,CLOSED
